Reported Issue #,Workorder #,Current Status,Open Date-Time,Resolved Date,Days Open,Report Source,Issue Type,Issue Sub-Type,Department Work Group,Incident Address,Latitude,Longitude,Lat-Long,Additional Questions,Last Updated
1062018,,resolved,05/31/2022 01:18:00 PM,06/16/2022 12:00:00 AM,15,Phone Answered,Administration or Questions,Submit a Claim to Law,311 Research,,,,,"{What is the claim for?"":""Vehicle damage""|""Where did the injury or damage occur (location and address or intersection)?"":""6245 Prospect Ave in the street""|""Is this for an individual or a business?"":""individual""|""Contact name"":""Jamont Clayton""|""Contact mailing address and phone number"":""3646 E 61st St Kansas City MO 64130| 816-726-4849""|""When did the injury or damage occur?"":""05-25-2022""|""If claim is for vehicle damage| please list make| model| and year"":""2018 Ford Fusion hybrid""|""Have you had any communication with anyone from the City about the damage?"":""No""|""If yes| what is the name of the department| division| or staff person?"":""""|""Did you file a police report?"":""No""|""If yes| what is the report number?"":""""}""",05/05/2023 08:41:01 AM
1329626,,resolved,12/30/2022 05:11:00 PM,01/03/2023 12:00:00 AM,4,Android,311 Request Update,,311 Research,,,,,"{""What is your request number?"":"""",""If you do not have your request number, please provide us the location reported."":""13598642"",""How would you like us to contact you?"":""Email"",""Please provide us the contact information for your preferred method."":""tkayholland@hotmail.com""}",01/03/2023 05:03:43 PM
1061838,,resolved,05/31/2022 12:26:00 PM,06/16/2022 12:00:00 AM,15,Phone Answered,Administration or Questions,Submit a Claim to Law,311 Research,,,,,"{What is the claim for?"":""Vehicle damage""|""Where did the injury or damage occur (location and address or intersection)?"":""3700 NW 56th ST""|""Is this for an individual or a business?"":""Individual""|""Contact name"":""Ron Lassiter""|""Contact mailing address and phone number"":""6016 NE 52nd Ter      816.783.7500""|""When did the injury or damage occur?"":""05-29-2022""|""If claim is for vehicle damage| please list make| model| and year"":""2014 Buick Verano""|""Have you had any communication with anyone from the City about the damage?"":""No""|""If yes| what is the name of the department| division| or staff person?"":""""|""Did you file a police report?"":""No""|""If yes| what is the report number?"":""""}""",05/05/2023 08:41:01 AM
1061817,,resolved,05/31/2022 12:13:00 PM,06/16/2022 12:00:00 AM,15,Phone Answered,Administration or Questions,Submit a Claim to Law,311 Research,,,,,"{What is the claim for?"":""Vehicle damage""|""Where did the injury or damage occur (location and address or intersection)?"":""6801 Bellefontaine Ave""|""Is this for an individual or a business?"":""Individual""|""Contact name"":""Christina Clark""|""Contact mailing address and phone number"":""10515 Corrington Ave KCMO| 64134 (913)-710-3827""|""When did the injury or damage occur?"":""05-30-2022""|""If claim is for vehicle damage| please list make| model| and year"":""2009 Mitsubishi Gulant""|""Have you had any communication with anyone from the City about the damage?"":""No""|""If yes| what is the name of the department| division| or staff person?"":""""|""Did you file a police report?"":""No""|""If yes| what is the report number?"":""""}""",05/05/2023 08:41:01 AM
1061685,,resolved,05/31/2022 10:46:00 AM,05/31/2022 12:00:00 AM,-1,CMS RAI,Administration or Questions,Submit a Claim to Law,311 Research,,,,,"{What is the claim for?"":""Property damage""|""Where did the injury or damage occur (location and address or intersection)?"":""4816 NE 46th Ter""|""Is this for an individual or a business?"":""individual""|""Contact name"":""Lauren Boyer""|""Contact mailing address and phone number"":""4816 NE 46th Ter""|""When did the injury or damage occur?"":""05-31-2022""|""If claim is for vehicle damage| please list make| model| and year"":""""|""Have you had any communication with anyone from the City about the damage?"":""No""|""If yes| what is the name of the department| division| or staff person?"":""""|""Did you file a police report?"":""No""|""If yes| what is the report number?"":""""}""",05/05/2023 08:41:01 AM
1061294,,resolved,05/31/2022 09:42:00 AM,06/16/2022 12:00:00 AM,15,Phone Answered,Administration or Questions,Submit a Claim to Law,311 Research,,,,,"{What is the claim for?"":""Vehicle damage""|""Where did the injury or damage occur (location and address or intersection)?"":""12TH AND PASEO""|""Is this for an individual or a business?"":""INDIVIDUAL""|""Contact name"":""MARLA SCOTT""|""Contact mailing address and phone number"":""3847 COLLEGE BLVD-KCMO - 64128""|""When did the injury or damage occur?"":""05-22-2022""|""If claim is for vehicle damage| please list make| model| and year"":""2009 CHEVY AVEO 5 LS""|""Have you had any communication with anyone from the City about the damage?"":""No""|""If yes| what is the name of the department| division| or staff person?"":""""|""Did you file a police report?"":""No""|""If yes| what is the report number?"":""""}""",05/05/2023 08:41:01 AM
1061282,,resolved,05/31/2022 09:20:00 AM,06/16/2022 12:00:00 AM,15,Phone Answered,Administration or Questions,Submit a Claim to Law,311 Research,,,,,"{What is the claim for?"":""Vehicle damage""|""Where did the injury or damage occur (location and address or intersection)?"":""Raytown Rd Stadium Dr""|""Is this for an individual or a business?"":""individual""|""Contact name"":""Richonda Owsley""|""Contact mailing address and phone number"":""6653 Agnes 64132 Kansas City MO 816-492-1503""|""When did the injury or damage occur?"":""05-31-2022""|""If claim is for vehicle damage| please list make| model| and year"":""2009 Chevy Malibu""|""Have you had any communication with anyone from the City about the damage?"":""No""|""If yes| what is the name of the department| division| or staff person?"":""""|""Did you file a police report?"":""No""|""If yes| what is the report number?"":""""}""",05/05/2023 08:41:01 AM
1061259,,resolved,05/31/2022 09:20:00 AM,05/31/2022 12:00:00 AM,-1,Phone Answered,Administration or Questions,Submit a Claim to Law,311 Research,,,,,"{What is the claim for?"":""Property damage""|""Where did the injury or damage occur (location and address or intersection)?"":""7808 N Euclid Ave""|""Is this for an individual or a business?"":""individual""|""Contact name"":""4174998876""|""Contact mailing address and phone number"":""7808 N Euclid Ave Kansas City Mo 64118""|""When did the injury or damage occur?"":""05-31-2022""|""If claim is for vehicle damage| please list make| model| and year"":""""|""Have you had any communication with anyone from the City about the damage?"":""No""|""If yes| what is the name of the department| division| or staff person?"":""""|""Did you file a police report?"":""No""|""If yes| what is the report number?"":""""}""",05/05/2023 08:41:01 AM
1061232,,resolved,05/31/2022 08:50:00 AM,06/01/2022 12:00:00 AM,0,Phone Answered,Administration or Questions,Submit a Claim to Law,311 Research,,,,,"{What is the claim for?"":""Injury""|""Where did the injury or damage occur (location and address or intersection)?"":""Summit Park 8329 Summit St""|""Is this for an individual or a business?"":""Individual""|""Contact name"":""Casey Clampitt""|""Contact mailing address and phone number"":""448 E 65th Terrace KCMO 64131; 913-963-1036""|""When did the injury or damage occur?"":""05-28-2022""|""If claim is for vehicle damage| please list make| model| and year"":""""|""Have you had any communication with anyone from the City about the damage?"":""No""|""If yes| what is the name of the department| division| or staff person?"":""""|""Did you file a police report?"":""No""|""If yes| what is the report number?"":""""}""",05/05/2023 08:41:01 AM
1060907,,resolved,05/31/2022 06:56:00 AM,06/16/2022 12:00:00 AM,15,Phone Answered,Administration or Questions,Submit a Claim to Law,311 Research,,,,,"{What is the claim for?"":""Vehicle damage""|""Where did the injury or damage occur (location and address or intersection)?"":""6852 Stadium Dr - in front of Leeds Industrial Park""|""Is this for an individual or a business?"":""Individual""|""Contact name"":""Mike McDonald""|""Contact mailing address and phone number"":""3367 Blue Ridge Blvd| Independence Mo 64052 - 816-810-9701""|""When did the injury or damage occur?"":""05-31-2022""|""If claim is for vehicle damage| please list make| model| and year"":""2008 Toyota Prius""|""Have you had any communication with anyone from the City about the damage?"":""No""|""If yes| what is the name of the department| division| or staff person?"":""Pothole case# 168912| 167938|  158390 | 164952""|""Did you file a police report?"":""No""|""If yes| what is the report number?"":""""}""",05/05/2023 08:41:01 AM
1329398,,resolved,12/30/2022 01:57:00 PM,01/04/2023 12:00:00 AM,5,WEB RAI,Vehicles and Parking,Feedback or Question,KCPD Parking Control,,,,,"{""Location or area of concern"":""347 North Van Brunt Blvd- I am not certain if this is the house number, I am at 351""}",01/04/2023 07:34:38 PM
1329062,,resolved,12/29/2022 01:57:00 PM,01/03/2023 12:00:00 AM,5,Phone Answered,Administration or Questions,KC Water,311 Research,,,,,"{""Type"":""Concern"",""Please provide address and location information if needed for this report"":""8404 Paseo KCMO 64131""}",01/03/2023 09:34:45 PM
1464264,,resolved,04/10/2023 02:42:00 PM,04/14/2023 12:00:00 AM,3,Phone Answered,Administration or Questions,Submit a Claim to Law,311 Research,,,,,"{What is the claim for?"":""Vehicle damage""|""Where did the injury or damage occur (location and address or intersection)?"":""6200 Wilson Rd""|""Is this for an individual or a business?"":""Individual""|""Contact name"":""Daylin  Racet""|""Contact mailing address and phone number"":""118 N Belleair Ave  Kansas City Mo 64123       816.824.6022""|""When did the injury or damage occur?"":""04-09-2023""|""If claim is for vehicle damage| please list make| model| and year"":""Toyota Sienna 2018 Minivan""|""Have you had any communication with anyone from the City about the damage?"":""No""|""If yes| what is the name of the department| division| or staff person?"":""""|""Did you file a police report?"":""No""|""If yes| what is the report number?"":""""}""",05/05/2023 08:41:16 AM
1157610,,resolved,08/10/2022 05:09:00 PM,08/19/2022 12:00:00 AM,8,Phone Answered,Water Service,Account or Billing Questions,Water Services Department,,,,,,08/19/2022 08:22:43 PM
1059004,,resolved,05/27/2022 04:15:00 PM,06/01/2022 12:00:00 AM,4,Phone Answered,Administration or Questions,Submit a Claim to Law,311 Research,,,,,"{What is the claim for?"":""Property damage""|""Where did the injury or damage occur (location and address or intersection)?"":""6016 Holmes St""|""Is this for an individual or a business?"":""Individual""|""Contact name"":""Lesly Lamour""|""Contact mailing address and phone number"":""6016 Holmes ST...  8168684755""|""When did the injury or damage occur?"":""05-27-2022""|""If claim is for vehicle damage| please list make| model| and year"":""""|""Have you had any communication with anyone from the City about the damage?"":""No""|""If yes| what is the name of the department| division| or staff person?"":""""|""Did you file a police report?"":""No""|""If yes| what is the report number?"":""""}""",05/05/2023 08:41:02 AM
997916,,new,04/11/2022 09:38:00 AM,,2,WEB RAI,Administration or Questions,Public Works,311 Research,,,,,,04/11/2022 04:27:21 PM
1058773,,resolved,05/27/2022 01:51:00 PM,06/15/2022 12:00:00 AM,18,Phone Answered,Administration or Questions,Submit a Claim to Law,311 Research,,,,,"{What is the claim for?"":""Property damage""|""Where did the injury or damage occur (location and address or intersection)?"":""2961 E 28th St""|""Is this for an individual or a business?"":""individual""|""Contact name"":""Davetta Cooksey""|""Contact mailing address and phone number"":""2961 E 28th St| Kansas City| MO 64128""|""When did the injury or damage occur?"":""05-27-2022""|""If claim is for vehicle damage| please list make| model| and year"":""n\/a""|""Have you had any communication with anyone from the City about the damage?"":""No""|""If yes| what is the name of the department| division| or staff person?"":""Mike with Forestry| WO ID 168346""|""Did you file a police report?"":""No""|""If yes| what is the report number?"":""""}""",05/05/2023 08:41:02 AM
1328378,,resolved,12/29/2022 06:21:00 PM,12/30/2022 12:00:00 AM,1,iOS,311 Request Update,,311 Research,,,,,"{""What is your request number?"":"""",""If you do not have your request number, please provide us the location reported."":""437 east 69th terrace"",""How would you like us to contact you?"":""Phone Call"",""Please provide us the contact information for your preferred method."":""6204417339""}",12/30/2022 05:20:29 PM
1058572,,resolved,05/27/2022 12:24:00 PM,06/15/2022 12:00:00 AM,18,Phone Answered,Administration or Questions,Submit a Claim to Law,311 Research,,,,,"{What is the claim for?"":""Vehicle damage""|""Where did the injury or damage occur (location and address or intersection)?"":""5104 NE Chouteau Trafficway""|""Is this for an individual or a business?"":""individual""|""Contact name"":""Zion Guerrier""|""Contact mailing address and phone number"":""(314) 755-9591 5101 NE Chouteau Trafficway Apt 703 Kansas City| MO 64119""|""When did the injury or damage occur?"":""05-27-2022""|""If claim is for vehicle damage| please list make| model| and year"":""2003 Honda Accord""|""Have you had any communication with anyone from the City about the damage?"":""No""|""If yes| what is the name of the department| division| or staff person?"":""Kansas City Patrol""|""Did you file a police report?"":""No""|""If yes| what is the report number?"":""""}""",05/05/2023 08:41:02 AM
998745,,new,04/11/2022 02:23:00 AM,,2,Phone Answered,Administration or Questions,Mayors Office,311 Research,,,,,,04/11/2022 07:58:36 PM
1058554,,resolved,05/27/2022 12:24:00 PM,06/15/2022 12:00:00 AM,18,Phone Answered,Administration or Questions,Submit a Claim to Law,311 Research,,,,,"{What is the claim for?"":""Vehicle damage""|""Where did the injury or damage occur (location and address or intersection)?"":""5101 NE Choteau Traffiway""|""Is this for an individual or a business?"":""individual""|""Contact name"":""Bonnie Monahan""|""Contact mailing address and phone number"":""(913) 416-3363 12060 W 77th 8D Kansas City KS 66216""|""When did the injury or damage occur?"":""05-27-2022""|""If claim is for vehicle damage| please list make| model| and year"":""2012 Silver Chevy Malibu""|""Have you had any communication with anyone from the City about the damage?"":""No""|""If yes| what is the name of the department| division| or staff person?"":""""|""Did you file a police report?"":""No""|""If yes| what is the report number?"":""""}""",05/05/2023 08:41:02 AM
990758,,new,04/05/2022 10:38:00 AM,,8,Phone Answered,Administration or Questions,Public Works,311 Research,,,,,"{""Type"":""Concern"",""Please provide the address or intersection if applicable to the report."":""""}",04/05/2022 05:32:59 PM
988493,,resolved,04/04/2022 08:42:00 AM,04/07/2022 12:00:00 AM,3,Phone Answered,Water Service,Account or Billing Questions,Water Services Department,,,,,,04/07/2022 09:50:48 PM
1058256,,resolved,05/27/2022 10:08:00 AM,06/15/2022 12:00:00 AM,18,Phone Answered,Administration or Questions,Submit a Claim to Law,311 Research,,,,,"{What is the claim for?"":""Vehicle damage""|""Where did the injury or damage occur (location and address or intersection)?"":""Wornall Stateline""|""Is this for an individual or a business?"":""Individual""|""Contact name"":""Elizabeth Taylor""|""Contact mailing address and phone number"":""918 N Strode Independence MO 64050 (816) 656-0498""|""When did the injury or damage occur?"":""04-14-2022""|""If claim is for vehicle damage| please list make| model| and year"":""2008 Toyota Siena""|""Have you had any communication with anyone from the City about the damage?"":""No""|""If yes| what is the name of the department| division| or staff person?"":""""|""Did you file a police report?"":""No""|""If yes| what is the report number?"":""""}""",05/05/2023 08:41:02 AM
1328223,,resolved,12/29/2022 04:55:00 PM,01/03/2023 12:00:00 AM,5,Android,Administration or Questions,KC Water,311 Research,,,,,"{""Type"":""Question"",""Please provide address and location information if needed for this report"":""235 E 73rd Ter""}",01/03/2023 09:45:21 PM
1328198,,resolved,12/29/2022 04:40:00 PM,01/04/2023 12:00:00 AM,6,iOS,Administration or Questions,KC Water,311 Research,,,,,"{""Type"":""Question"",""Please provide address and location information if needed for this report"":""704 e 61st St""}",01/04/2023 08:58:12 PM
1057998,,resolved,05/27/2022 07:05:00 AM,06/15/2022 12:00:00 AM,18,Phone Answered,Administration or Questions,Submit a Claim to Law,311 Research,,,,,"{What is the claim for?"":""Vehicle damage""|""Where did the injury or damage occur (location and address or intersection)?"":""W 6th St and Broadway""|""Is this for an individual or a business?"":""Individual""|""Contact name"":""Vincent Ribaudo""|""Contact mailing address and phone number"":""10023 N. Michigan Ave KCMO 64155 (816)730-1771""|""When did the injury or damage occur?"":""05-26-2022""|""If claim is for vehicle damage| please list make| model| and year"":""2007 Cadillac DTS""|""Have you had any communication with anyone from the City about the damage?"":""No""|""If yes| what is the name of the department| division| or staff person?"":""""|""Did you file a police report?"":""No""|""If yes| what is the report number?"":""""}""",05/05/2023 08:41:02 AM
1327813,,resolved,12/29/2022 01:34:00 PM,01/04/2023 12:00:00 AM,6,Phone Answered,Administration or Questions,KC Water,311 Research,,,,,"{""Type"":""Concern"",""Please provide address and location information if needed for this report"":""8001 Noland Rd Kansas City MO 64139""}",01/04/2023 09:15:06 PM
1327707,,resolved,12/29/2022 11:59:00 AM,01/03/2023 12:00:00 AM,5,Phone Answered,Administration or Questions,Neighborhood Services,311 Research,,,,,"{""Type"":""Concern"",""Please provide the address or intersection if applicable to this report."":""4301 St. John Ave""}",01/03/2023 05:19:25 PM
1057691,,resolved,05/26/2022 04:45:00 PM,02/03/2023 12:00:00 AM,252,Phone Answered,Administration or Questions,Neighborhood Services,311 Research,,,,,,05/05/2023 08:41:02 AM
991189,,resolved,04/05/2022 03:53:00 AM,,,Phone Answered,Administration or Questions,Elected Officials - City Council,311 Research,,,,,"{""Type"":""Feedback"",""Official"":""Council District 2""}",05/05/2022 12:11:00 PM
1057446,,resolved,05/26/2022 02:18:00 PM,12/02/2022 12:00:00 AM,189,Phone Answered,311 Research and Investigation,Management Review,311 Research,,,,,,05/05/2023 08:41:02 AM
1057316,,resolved,05/26/2022 01:05:00 PM,06/15/2022 12:00:00 AM,19,Phone Answered,Administration or Questions,Submit a Claim to Law,311 Research,,,,,"{What is the claim for?"":""Vehicle damage""|""Where did the injury or damage occur (location and address or intersection)?"":""8435 E 63rd Trfy""|""Is this for an individual or a business?"":""individual""|""Contact name"":""LaTicia Davis""|""Contact mailing address and phone number"":""5827 Farley Ave  Raytown MO  816-2697802""|""When did the injury or damage occur?"":""04-21-2022""|""If claim is for vehicle damage| please list make| model| and year"":""2014 Cadillac CTS""|""Have you had any communication with anyone from the City about the damage?"":""No""|""If yes| what is the name of the department| division| or staff person?"":""""|""Did you file a police report?"":""No""|""If yes| what is the report number?"":""""}""",05/05/2023 08:41:02 AM
1156839,,resolved,08/10/2022 11:18:00 AM,08/10/2022 12:00:00 AM,-1,Phone Answered,Administration or Questions,Public Works,311 Research,,,,,,08/10/2022 10:16:58 PM
1057309,,resolved,05/26/2022 12:54:00 PM,06/15/2022 12:00:00 AM,19,Phone Answered,Administration or Questions,Submit a Claim to Law,311 Research,,,,,"{What is the claim for?"":""Vehicle damage""|""Where did the injury or damage occur (location and address or intersection)?"":""7044 Troost Ave - Heading westbound on Gregory Ave coming up to Troost| at NW corner of Troost\/Gregory""|""Is this for an individual or a business?"":""individual""|""Contact name"":""Olivia Moralez""|""Contact mailing address and phone number"":""7720 Wallace Ave KCMO 64138 - 816-737-3066""|""When did the injury or damage occur?"":""05-25-2022""|""If claim is for vehicle damage| please list make| model| and year"":""2011 Ford Fusion SEL""|""Have you had any communication with anyone from the City about the damage?"":""No""|""If yes| what is the name of the department| division| or staff person?"":""""|""Did you file a police report?"":""No""|""If yes| what is the report number?"":""""}""",05/05/2023 08:41:02 AM
1057054,,resolved,05/26/2022 11:03:00 AM,06/15/2022 12:00:00 AM,19,Phone Answered,Administration or Questions,Submit a Claim to Law,311 Research,,,,,"{What is the claim for?"":""Property damage""|""Where did the injury or damage occur (location and address or intersection)?"":""at the Crub""|""Is this for an individual or a business?"":""individual""|""Contact name"":""Forrest Breedlove""|""Contact mailing address and phone number"":""435 e 80th ter""|""When did the injury or damage occur?"":""05-24-2022""|""If claim is for vehicle damage| please list make| model| and year"":""""|""Have you had any communication with anyone from the City about the damage?"":""No""|""If yes| what is the name of the department| division| or staff person?"":""water restoration""|""Did you file a police report?"":""No""|""If yes| what is the report number?"":""""}""",05/05/2023 08:41:02 AM
1056939,,resolved,05/26/2022 10:26:00 AM,06/15/2022 12:00:00 AM,19,Phone Answered,Administration or Questions,Submit a Claim to Law,311 Research,,,,,"{What is the claim for?"":""Property damage""|""Where did the injury or damage occur (location and address or intersection)?"":""2930 Holmes St""|""Is this for an individual or a business?"":""Individual""|""Contact name"":""Janet Markham""|""Contact mailing address and phone number"":""2930 Holmes KCMO 64109 816 321 2707""|""When did the injury or damage occur?"":""05-25-2022""|""If claim is for vehicle damage| please list make| model| and year"":""""|""Have you had any communication with anyone from the City about the damage?"":""No""|""If yes| what is the name of the department| division| or staff person?"":""""|""Did you file a police report?"":""No""|""If yes| what is the report number?"":""""}""",05/05/2023 08:41:02 AM
1326563,,resolved,12/28/2022 03:56:00 PM,01/03/2023 12:00:00 AM,6,CMS RAI,Administration or Questions,Neighborhood Services,311 Research,,,,,"{""Type"":""Concern"",""Please provide the address or intersection if applicable to this report."":""429 Brighton Ave.  KCMO 64124""}",01/03/2023 05:41:25 PM
1326210,,resolved,12/28/2022 01:08:00 PM,01/03/2023 12:00:00 AM,6,Phone Answered,Administration or Questions,KC Water,311 Research,,,,,"{""Type"":""Question"",""Please provide address and location information if needed for this report"":""7921 N Hickory St""}",01/03/2023 04:57:17 PM
1056065,,resolved,05/25/2022 03:57:00 PM,06/15/2022 12:00:00 AM,20,Phone Answered,Administration or Questions,Submit a Claim to Law,311 Research,,,,,"{What is the claim for?"":""Property damage""|""Where did the injury or damage occur (location and address or intersection)?"":""3644 Norton Ave""|""Is this for an individual or a business?"":""Individual""|""Contact name"":""Anthony Adams SR""|""Contact mailing address and phone number"":""3644 Norton Ave| Kansas City| MO 64128""|""When did the injury or damage occur?"":""05-25-2022""|""If claim is for vehicle damage| please list make| model| and year"":""n\/a""|""Have you had any communication with anyone from the City about the damage?"":""No""|""If yes| what is the name of the department| division| or staff person?"":""""|""Did you file a police report?"":""No""|""If yes| what is the report number?"":""""}""",05/05/2023 08:41:02 AM
1559498,218690,resolved,06/10/2023 01:45:00 PM,06/12/2023 12:00:00 AM,2,iOS,Traffic Signals,Malfunctioning,PW Signals,8551 N Church Rd Kansas City 64157,39.244641,-94.455374,POINT (-94.455374 39.244641),"{Type of Signal"":""Left turn light""|""Problem"":""Timing""|""Street"":""152 west""|""Intersecting Street"":""35 south""}""",06/12/2023 03:14:51 PM
1486537,,new,04/24/2023 11:11:00 AM,,2,Phone Answered,Administration or Questions,How's My Driving,311 Research,,,,,"{""In order to complete an investigation,  please provide license plate number"":""2114"",""Vehicle Description"":""big white truck that opens in the back."",""Location"":""NE Russell Rd onto Antioch Rd"",""Date and time of incident"":""04-24-2023 11:00 AM""}",04/24/2023 04:11:44 PM
1055704,,resolved,05/25/2022 01:16:00 PM,06/15/2022 12:00:00 AM,20,Phone Answered,Administration or Questions,Submit a Claim to Law,311 Research,,,,,"{What is the claim for?"":""Vehicle damage""|""Where did the injury or damage occur (location and address or intersection)?"":""Bannister to \t9904 Hickman Mills Dr""|""Is this for an individual or a business?"":""individual""|""Contact name"":""Linda Ash""|""Contact mailing address and phone number"":""816-645-2433  9008 Indiana Ave""|""When did the injury or damage occur?"":""05-23-2022""|""If claim is for vehicle damage| please list make| model| and year"":""2006 BMW 325 I""|""Have you had any communication with anyone from the City about the damage?"":""No""|""If yes| what is the name of the department| division| or staff person?"":""""|""Did you file a police report?"":""No""|""If yes| what is the report number?"":""""}""",05/05/2023 08:41:02 AM
1483169,,resolved,04/21/2023 01:32:00 PM,05/04/2023 12:00:00 AM,12,Android,Vehicles and Parking,Feedback or Question,KCPD Parking Control,,,,,"{Location or area of concern"":""blocked alley south west of 41st st and stateline. cars parked daily.""}""",05/04/2023 05:19:24 PM
1055567,,resolved,05/25/2022 12:24:00 PM,03/01/2023 12:00:00 AM,279,WEB RAI,Contract and Labor Violations,Wage and Hour Violations,Civil Rights and Equal Opportunity,,,,,"{Is the project in KCMO city limits?  If no| please contact the city\/county where the project is located."":""Yes""|""Project Name or Number"":""Kansas City Restoration School""|""Please provide contact information for the project"":""Beth Sarver| (816) 945-2672""|""Trade\/Position held"":""Guide\/Educator""|""Do you agree to provide your name and contact information below?  If not| you will need to call 816-513-1836 to report."":""Yes""}""",05/05/2023 08:41:02 AM
816925,,received,10/20/2021 07:47:00 AM,,532,Phone Answered,Administration or Questions,Public Works,311 Research,,,,,,11/14/2022 02:04:11 PM
1055286,,resolved,05/25/2022 10:01:00 AM,05/26/2022 12:00:00 AM,0,Phone Answered,Administration or Questions,Submit a Claim to Law,311 Research,,,,,"{What is the claim for?"":""Vehicle damage""|""Where did the injury or damage occur (location and address or intersection)?"":""Citizen is reporting several potholes off of Stadium Rd and Raytown Rd  right before the bridge and it is very deep.""|""Is this for an individual or a business?"":""Individual""|""Contact name"":""Marcus Kean""|""Contact mailing address and phone number"":""Address: 1001 Beth Blvd Harrisonville MO| 64701 phone: 214-422-6319""|""When did the injury or damage occur?"":""05-25-2022""|""If claim is for vehicle damage| please list make| model| and year"":""Make: BMW X5 Model: 4dr SUV \/Black  Year: 2010""|""Have you had any communication with anyone from the City about the damage?"":""No""|""If yes| what is the name of the department| division| or staff person?"":""""|""Did you file a police report?"":""No""|""If yes| what is the report number?"":""""}""",05/05/2023 08:41:02 AM
1055166,,resolved,05/25/2022 09:07:00 AM,06/15/2022 12:00:00 AM,20,Phone Answered,Administration or Questions,Submit a Claim to Law,311 Research,,,,,"{What is the claim for?"":""Vehicle damage""|""Where did the injury or damage occur (location and address or intersection)?"":""E 63rd Street and Prospect Ave""|""Is this for an individual or a business?"":""Individual""|""Contact name"":""Louis Shears""|""Contact mailing address and phone number"":""2651 E 34th St. Apt 128 Street KCMO 64128 ; phone number 816-337-8215""|""When did the injury or damage occur?"":""05-24-2022""|""If claim is for vehicle damage| please list make| model| and year"":""2015 Dodge Journey""|""Have you had any communication with anyone from the City about the damage?"":""No""|""If yes| what is the name of the department| division| or staff person?"":""""|""Did you file a police report?"":""No""|""If yes| what is the report number?"":""""}""",05/05/2023 08:41:02 AM
1055055,,resolved,05/25/2022 08:06:00 AM,06/15/2022 12:00:00 AM,20,Phone Answered,Administration or Questions,Submit a Claim to Law,311 Research,,,,,"{What is the claim for?"":""Vehicle damage""|""Where did the injury or damage occur (location and address or intersection)?"":""On Congress and Barry| north of| near roundabouts| near 4 way stop""|""Is this for an individual or a business?"":""Individual""|""Contact name"":""David Gray""|""Contact mailing address and phone number"":""8522 N Rhode Ave 64153 816.786.2950""|""When did the injury or damage occur?"":""05-16-2022""|""If claim is for vehicle damage| please list make| model| and year"":""2015 Mini Cooper""|""Have you had any communication with anyone from the City about the damage?"":""No""|""If yes| what is the name of the department| division| or staff person?"":""""|""Did you file a police report?"":""No""|""If yes| what is the report number?"":""""}""",05/05/2023 08:41:02 AM
1054952,,resolved,05/25/2022 07:39:00 AM,06/15/2022 12:00:00 AM,20,Phone Answered,Administration or Questions,Submit a Claim to Law,311 Research,,,,,"{What is the claim for?"":""Vehicle damage""|""Where did the injury or damage occur (location and address or intersection)?"":""4208 Park Ave KCMO 64130""|""Is this for an individual or a business?"":""Individual""|""Contact name"":""Lakiva Thatcher""|""Contact mailing address and phone number"":""5622 Indiana Ave KCMO 64130 phone: 816-739-8866""|""When did the injury or damage occur?"":""05-25-2022""|""If claim is for vehicle damage| please list make| model| and year"":""Make: Chrysler 300 Model: 4dr Maroon  Year: 2018""|""Have you had any communication with anyone from the City about the damage?"":""No""|""If yes| what is the name of the department| division| or staff person?"":""""|""Did you file a police report?"":""No""|""If yes| what is the report number?"":""""}""",05/05/2023 08:41:02 AM
1317075,,assigned,12/19/2022 09:25:00 PM,,35,Android,Administration or Questions,KCPD,311 Research,,,,,"{""Type"":""Question"",""Provide address or location information if needed"":""I wanted to shoot this over your way to up awareness for enforcement within this area. Current location: cul-de-sac of 8805 NE 116TH St 64157. Overcrowded cul-de-sac making it difficult for city vehicles to potentially get in and out in a safe manner.""}",01/03/2023 07:04:37 PM
1054646,,resolved,05/24/2022 05:45:00 PM,06/15/2022 12:00:00 AM,21,Phone Answered,Administration or Questions,Submit a Claim to Law,311 Research,,,,,"{What is the claim for?"":""Vehicle damage""|""Where did the injury or damage occur (location and address or intersection)?"":""10601 Jefferson St""|""Is this for an individual or a business?"":""Individual""|""Contact name"":""Richard La MAr""|""Contact mailing address and phone number"":""12307 W 128th  ST     Overland Park Ks 66213           913.219.7341""|""When did the injury or damage occur?"":""05-24-2022""|""If claim is for vehicle damage| please list make| model| and year"":""Kia Optima 2013""|""Have you had any communication with anyone from the City about the damage?"":""No""|""If yes| what is the name of the department| division| or staff person?"":""""|""Did you file a police report?"":""No""|""If yes| what is the report number?"":""""}""",05/05/2023 08:41:02 AM
1314238,195407,canceled,12/16/2022 07:38:00 PM,,38,Android,Street Maintenance,Pothole,PW Permits,428 NW Englewood Rd Kansas City 64118,39.19626493,-94.58543915,POINT (-94.58543915 39.19626493),"{""Number of Potholes"":""One Pothole"",""Location"":""Street""}",01/17/2023 07:37:15 PM
